iter	Passed	Remaining
399	57053	12979
400	57193	12836
401	57327	12692
402	57466	12548
403	57611	12406
404	57751	12263
405	57890	12119
406	58050	11980
407	58187	11837
408	58324	11693
409	58457	11548
410	58589	11404
411	58722	11259
412	58859	11116
413	58990	10971
414	59124	10827
415	59261	10684
416	59400	10541
417	59541	10398
418	59677	10254
419	59810	10110
420	59945	9967
421	60075	9822
422	60206	9678
423	60339	9534
424	60469	9390
425	60602	9246
426	60730	9102
427	60866	8959
428	60999	8815
429	61131	8672
430	61259	8528
431	61393	8384
432	61525	8241
433	61654	8097
434	61785	7953
435	61917	7810
436	62053	7667
437	62186	7524
438	62317	7381
439	62447	7238
440	62580	7095
441	62714	6952
442	62863	6811
443	63007	6669
444	63144	6527
445	63276	6384
446	63409	6241
447	63541	6098
448	63674	5956
449	63810	5813
450	63941	5671
451	64077	5528
452	64218	5386
453	64356	5244
454	64490	5102
455	64622	4960
456	64762	4818
457	64905	4676
458	65036	4534
459	65167	4391
460	65299	4249
461	65435	4107
462	65566	3965
463	65697	3822
464	65830	3680
465	65961	3538
466	66092	3396
467	66240	3255
468	66373	3113
469	66503	2971
470	66635	2829
471	66768	2687
472	66902	2545
473	67032	2404
474	67171	2262
475	67310	2121
476	67449	1979
477	67580	1837
478	67715	1696
479	67846	1554
480	67988	1413
481	68127	1272
482	68257	1130
483	68394	989
484	68538	847
485	68673	706
486	68811	565
487	68940	423
488	69071	282
489	69205	141
490	69340	0
