iter	Logloss
0	0.6768795027
1	0.661157738
2	0.646489896
3	0.632770633
4	0.6189551172
5	0.6048214769
6	0.5914042253
7	0.5783059515
8	0.565611212
9	0.5544409018
10	0.5432949026
11	0.5327476433
12	0.52206281
13	0.512809373
14	0.5026118833
15	0.4930662448
16	0.484345903
17	0.4747294144
18	0.4658149122
19	0.4572143736
20	0.4492163553
21	0.4416610855
22	0.4346309825
23	0.4275545867
24	0.4211488633
25	0.4144179249
26	0.4069700094
27	0.4000692112
28	0.3935283593
29	0.3872387108
30	0.382300065
31	0.3765601472
32	0.3712180518
33	0.3658657844
34	0.3606324928
35	0.3555588575
36	0.3509273167
37	0.3460180385
38	0.3414242015
39	0.336803313
40	0.332250207
41	0.3282440732
42	0.3243687441
43	0.3203788629
44	0.3160620402
45	0.3121873513
46	0.3085701127
47	0.3049665928
48	0.3015665162
49	0.2974606098
50	0.2941430271
51	0.2910027569
52	0.287469434
53	0.2845507481
54	0.2813587891
55	0.2786580786
56	0.2756306939
57	0.2728502422
58	0.2699667845
59	0.2670444633
60	0.2645405942
61	0.2620900774
62	0.2595634307
63	0.2567679811
64	0.2545419433
65	0.2521513721
66	0.2498608188
67	0.2476895947
68	0.2454371201
69	0.2432828205
70	0.2410017426
71	0.2385101195
72	0.2363777143
73	0.23421346
74	0.2323372108
75	0.230412609
76	0.2284035536
77	0.2265533797
78	0.224914871
79	0.2232543962
80	0.2212229005
81	0.2195418802
82	0.2177091417
83	0.2158167762
84	0.21408215
85	0.2125907406
86	0.2110747546
87	0.2095622769
88	0.2080056514
89	0.2064765574
90	0.205176059
91	0.2038642118
92	0.2024112797
93	0.2008838233
94	0.1993340494
95	0.1979266631
96	0.1965512547
97	0.195347587
98	0.1942904817
99	0.1930311432
100	0.1918246589
101	0.1903568398
102	0.189152614
103	0.1878802824
104	0.1867343196
105	0.1855592308
106	0.1843201975
107	0.1831677319
108	0.182076222
109	0.1808068947
110	0.1797446573
111	0.178668322
112	0.1776502953
113	0.1767365386
114	0.1757115616
115	0.174801633
116	0.1738116225
117	0.172733372
118	0.1718691895
119	0.1709671649
120	0.1700046323
121	0.1689579934
122	0.1679755046
123	0.1669867719
124	0.1661085883
125	0.1652021461
126	0.1642161502
127	0.1633289076
128	0.1624912699
129	0.1615292404
130	0.1614933634
131	0.1606760345
132	0.1598307518
133	0.1589334482
134	0.1581171574
135	0.1573012838
136	0.1564943036
137	0.1557453723
138	0.1549763213
139	0.1541960247
140	0.1534654205
141	0.1527879855
142	0.1520498094
143	0.1514496315
144	0.150785031
145	0.1501400539
146	0.1494079019
147	0.1488202329
148	0.1481622103
149	0.1475114599
150	0.1469531705
151	0.1463759896
152	0.145672316
153	0.1450890279
154	0.1445149557
155	0.1438056073
156	0.1431803063
157	0.1425694141
158	0.1419848121
159	0.1413892708
160	0.1407968137
161	0.140199643
162	0.1395995802
163	0.1390168428
164	0.1384334399
165	0.1378201479
166	0.1372114456
167	0.136711036
168	0.1361771374
169	0.1356078972
170	0.1350715481
171	0.1344702472
172	0.1339464741
173	0.1334552329
174	0.1330514997
175	0.1330331317
176	0.1325462599
177	0.1320751022
178	0.1317308816
179	0.1311990214
180	0.1307650991
181	0.1302209234
182	0.1297440995
183	0.1292978292
184	0.1288418779
185	0.1283836665
186	0.1279310444
187	0.1274582879
188	0.1269750953
189	0.1265479983
190	0.1260133904
191	0.1256552933
192	0.1252041804
193	0.1247349218
194	0.1242993507
195	0.1238828892
196	0.1234225086
197	0.1230265291
198	0.1226172144
199	0.122261204
200	0.1219147949
201	0.1215336213
202	0.1211309447
203	0.1207002414
204	0.1203210262
205	0.1199474421
206	0.119464812
207	0.1191437159
208	0.1187782628
209	0.1183964009
210	0.1180204036
211	0.117687136
212	0.117386195
213	0.1170020383
214	0.1167044094
215	0.1163709085
216	0.1160486579
217	0.1156888902
218	0.1153762212
219	0.1149899417
220	0.1146815397
221	0.1143803675
222	0.1140573155
223	0.1137451989
224	0.1134183078
225	0.1131181726
226	0.1128386737
227	0.1125174158
228	0.1122071489
229	0.111827822
230	0.1115790002
231	0.1112731365
232	0.1112371711
233	0.1109839927
234	0.1106991681
235	0.1103643215
236	0.1100684391
237	0.1097536849
238	0.1097419247
239	0.1094758292
240	0.1092302747
241	0.1089101366
242	0.1086574636
243	0.1083866926
244	0.1081383163
245	0.1078823651
246	0.1076032676
247	0.1073067132
248	0.1070169306
249	0.1066832851
250	0.1063964879
251	0.1060689664
252	0.1058176602
253	0.1055513156
254	0.1052582633
255	0.1050159832
256	0.1047670212
257	0.1045119535
258	0.1041779332
259	0.1041652227
260	0.1039290115
261	0.1037020251
262	0.103479564
263	0.1032588687
264	0.1030425767
265	0.1028085486
266	0.1026102779
267	0.1023589117
268	0.1021133003
269	0.1018532328
270	0.1015949715
271	0.1013981342
272	0.1011252398
273	0.1008906772
274	0.1006771368
275	0.1004571622
276	0.1002430896
277	0.100013883
278	0.09981422982
279	0.09958864119
280	0.09937228549
281	0.0991862713
282	0.09896881051
283	0.09880197095
284	0.09859002351
285	0.09837158396
286	0.09817660328
287	0.09794351569
288	0.09773838089
289	0.09753372577
290	0.0973620428
291	0.0971655492
292	0.09696197389
293	0.09676244102
294	0.09658447202
295	0.09638228115
296	0.09619467197
297	0.09598587331
298	0.09576630398
299	0.09555615009
300	0.09535347999
301	0.09517728957
302	0.09499454834
303	0.09480892121
304	0.09464066438
305	0.09439463436
306	0.09419166642
307	0.09398121768
308	0.09382712527
309	0.09365106134
310	0.09345711507
311	0.09330999995
312	0.09313493332
313	0.09298172297
314	0.09282540164
315	0.09267292022
316	0.0924779645
317	0.09228659887
318	0.09213227076
319	0.09197057492
320	0.09178847492
321	0.09160899939
322	0.09142288333
323	0.09122119791
324	0.0910736208
325	0.09090506384
326	0.09073168545
327	0.09054994366
328	0.09038021208
329	0.09024339771
330	0.09010505312
331	0.08995291063
332	0.08979290534
333	0.08963679949
334	0.08946760483
335	0.08931145367
336	0.08913352074
337	0.08898549321
338	0.08885061433
339	0.08871455495
340	0.08855633558
341	0.08840728777
342	0.08826534107
343	0.08811079291
344	0.08796629003
345	0.08782346315
346	0.08768177511
347	0.0875407494
348	0.08738741839
349	0.08725567086
350	0.08712138959
351	0.08696233934
352	0.08681095569
353	0.08664522316
354	0.08651231636
355	0.08637835663
356	0.08622617733
357	0.08608487728
358	0.08596746145
359	0.08584041228
360	0.08571717668
361	0.08556273253
362	0.08542827177
363	0.08531767133
364	0.08520471387
365	0.0850818252
366	0.08495035684
367	0.08484040848
368	0.08472037981
369	0.08458579568
370	0.08444235466
371	0.08429894853
372	0.08414911462
373	0.084034915
374	0.08390118228
375	0.08380442515
376	0.08368324782
377	0.08355233611
378	0.08343520892
379	0.08330391756
380	0.08321489685
381	0.08311042392
382	0.08299030305
383	0.08283413138
384	0.08271884385
385	0.0825998099
386	0.08249904876
387	0.08237020461
388	0.08224255928
389	0.08211050552
390	0.08200242867
391	0.08187651111
392	0.08176481937
393	0.08165116902
394	0.08153863209
395	0.08143282491
396	0.08133491877
397	0.08120138602
398	0.08110257581
399	0.08097909622
400	0.08086967515
401	0.080753501
402	0.08065321906
403	0.08055800857
404	0.08044791665
405	0.08033806256
406	0.08021411555
407	0.08012623396
408	0.08003225027
409	0.07991839286
410	0.07981393239
411	0.07971253656
412	0.07960460648
413	0.0795092146
414	0.07940589523
415	0.07929940763
416	0.07919899646
417	0.07907420306
418	0.07895332106
419	0.07886817107
420	0.07877063509
421	0.0786752912
422	0.07854638255
423	0.07845532292
424	0.07836384477
425	0.07826507881
426	0.07817767751
427	0.07807499562
428	0.07798060923
429	0.07788272997
430	0.07778543445
431	0.07769279209
432	0.07758226143
433	0.07748801018
434	0.07740625353
435	0.07731722985
436	0.07723454956
437	0.07715342967
438	0.07708116133
439	0.07699789525
440	0.07692224639
441	0.07683732881
442	0.07675116646
443	0.07666762398
444	0.07658815308
445	0.07650616334
446	0.07642404144
447	0.07632589679
448	0.07624083602
449	0.07616139017
450	0.07609239252
451	0.07601262716
452	0.07592611773
453	0.07583602193
454	0.07576042288
455	0.07568045622
456	0.07560213329
457	0.07553509589
458	0.07545595528
459	0.0753686736
460	0.07529316283
461	0.07521008559
462	0.07514524054
463	0.07507111363
464	0.07500177623
465	0.07493261206
466	0.07485750593
467	0.07478393015
468	0.07471831222
469	0.07465092308
470	0.07457013762
471	0.07449410352
472	0.07441360913
473	0.07434756968
474	0.07426767803
475	0.07419486493
476	0.07412157334
477	0.07405610573
478	0.07396923373
479	0.07390765038
480	0.07384413125
481	0.0737751031
482	0.07371518944
483	0.07365586461
484	0.07359119727
485	0.07352013627
486	0.07345329633
487	0.07339155119
488	0.07332366906
489	0.07326203631
490	0.07319434223
